Date,Close,High,Low,Open,Volume,tomorrow_close,target,ticker
2020-01-01,672.2161865234375,680.0088516309808,670.3905321258029,675.9566705310696,14004468,683.6603393554688,1,RELIANCE.NS
2020-01-02,683.6603393554688,686.1762695678455,673.2849808364612,673.2849808364612,17710316,684.4840698242188,1,RELIANCE.NS
2020-01-03,684.4840698242188,686.4878962665452,678.1831277621862,682.6360622006584,20984698,668.6093139648438,0,RELIANCE.NS
2020-01-06,668.6093139648438,680.3650438391912,667.0507691289934,676.8472602327319,24519177,678.8956298828125,1,RELIANCE.NS
2020-01-07,678.8956298828125,683.304036115152,673.9528263419015,676.4019343098523,16683622,673.7970581054688,0,RELIANCE.NS
2020-01-08,673.7970581054688,683.2817936051865,672.394391396721,674.6208587574616,16047902,689.3154907226562,1,RELIANCE.NS
2020-01-09,689.3154907226562,690.206053788195,681.8568169732863,685.1297254143482,14982742,689.1596069335938,0,RELIANCE.NS
2020-01-10,689.1596069335938,693.7461255846073,685.5972357997355,691.0520831577536,12478359,687.4006958007812,0,RELIANCE.NS
2020-01-13,687.4006958007812,694.0800969009713,685.0406443123888,688.0018555733295,18282382,681.0330810546875,0,RELIANCE.NS
2020-01-14,681.0330810546875,690.2061193009722,677.6711159879618,685.7531846503401,15816535,678.5615844726562,0,RELIANCE.NS
2020-01-15,678.5615844726562,685.7085608303954,676.0679485502039,683.9051409780271,15817859,684.8179931640625,1,RELIANCE.NS
2020-01-16,684.8179931640625,687.244866778881,680.4095869331176,680.8549279318096,12847975,704.0101928710938,1,RELIANCE.NS
2020-01-17,704.0101928710938,705.7690846391494,691.6310096398801,691.7645940988411,29463471,682.3466186523438,0,RELIANCE.NS
2020-01-20,682.3466186523438,716.4784286658733,679.6971043882497,716.4784286658733,32545850,683.036865234375,1,RELIANCE.NS
2020-01-21,683.036865234375,688.3581283514012,677.73783646965,680.6768135829059,18922720,682.7919921875,0,RELIANCE.NS
2020-01-22,682.7919921875,688.7589438110633,681.790078890447,687.5343897202368,10322817,679.8974609375,0,RELIANCE.NS
2020-01-23,679.8974609375,686.6213898607012,677.158890568742,684.1945165383646,11247739,677.5374755859375,0,RELIANCE.NS
2020-01-24,677.5374755859375,684.1278207028573,676.201571520967,679.9642896946181,14628445,670.8580932617188,0,RELIANCE.NS
2020-01-27,670.8580932617188,678.8288715307318,670.1678770715025,674.576343167049,13387750,655.36181640625,0,RELIANCE.NS
2020-01-28,655.36181640625,672.3943409712025,651.7326826089246,671.7708873528463,24532236,658.9686279296875,1,RELIANCE.NS
2020-01-29,658.9686279296875,665.4476222245518,651.9329425979813,656.385876391396,24746565,642.8934936523438,0,RELIANCE.NS
2020-01-30,642.8934936523438,658.9018091461028,641.2236583343256,658.5901121020851,22402689,628.599609375,0,RELIANCE.NS
2020-01-31,628.599609375,647.1238564671794,626.6180767993984,647.0125063572486,34750310,616.955078125,0,RELIANCE.NS
2020-02-03,616.955078125,623.3896034857745,606.9582415298355,610.0085087953031,30712290,635.1677856445312,1,RELIANCE.NS
2020-02-04,635.1677856445312,637.8840627653415,622.4323756025095,623.4119950902905,25383901,645.0087280273438,1,RELIANCE.NS
2020-02-05,645.0087280273438,646.9234982397322,636.9044250553178,638.9527202893477,18472100,649.1499633789062,1,RELIANCE.NS
2020-02-06,649.1499633789062,653.2466727335321,641.268301219584,647.5024215657478,15538577,638.3961181640625,0,RELIANCE.NS
2020-02-07,638.3961181640625,646.7231209827357,636.0137726868787,646.121961162775,12209212,639.2644653320312,1,RELIANCE.NS
2020-02-10,639.2644653320312,643.6728717218461,628.0653070065835,635.8802065407942,15142476,646.901123046875,1,RELIANCE.NS
2020-02-11,646.901123046875,652.8903075199792,643.4723367839457,644.5187779768384,13999816,654.716064453125,1,RELIANCE.NS
2020-02-12,654.716064453125,656.7421844770341,647.9030790730019,648.4151825290611,13533565,656.4304809570312,1,RELIANCE.NS
2020-02-13,656.4304809570312,658.0335539553153,651.2873305313852,658.0335539553153,13565659,662.419677734375,1,RELIANCE.NS
2020-02-14,662.419677734375,668.5869752575289,647.0569900773629,657.8108654922579,21227841,658.2561645507812,0,RELIANCE.NS
2020-02-17,658.2561645507812,670.6798756802237,656.4972728187931,663.0430895240688,13149130,653.4247436523438,0,RELIANCE.NS
2020-02-18,653.4247436523438,657.2097556655767,648.97180932506,657.2097556655767,11127161,669.6334838867188,1,RELIANCE.NS
2020-02-19,669.6334838867188,670.813509728984,656.8535465958774,658.7460229239962,14084409,661.6849365234375,0,RELIANCE.NS
2020-02-20,661.6849365234375,671.5036613641485,660.7275515499585,666.605445844099,16892268,643.4277954101562,0,RELIANCE.NS
2020-02-24,643.4277954101562,657.6994528379005,641.0232160408293,654.4710730304506,21370214,630.7147827148438,0,RELIANCE.NS
2020-02-25,630.7147827148438,646.3000526686237,627.8648619763386,646.3000526686237,27745062,619.8496704101562,0,RELIANCE.NS
2020-02-26,619.8496704101562,628.9114188834695,617.7790811565051,627.8649773536304,29362748,617.2891845703125,0,RELIANCE.NS
2020-02-27,617.2891845703125,620.6511494965837,609.6078101962304,618.0683975689975,25054993,591.6401977539062,0,RELIANCE.NS
2020-02-28,591.6401977539062,604.2643163833105,590.0148903377343,603.3291656588368,39315769,586.0740356445312,0,RELIANCE.NS
2020-03-02,586.0740356445312,609.6077893226085,579.3723403742132,603.4181975497225,29500495,597.96337890625,1,RELIANCE.NS
2020-03-03,597.96337890625,602.8838887991839,588.6789907987993,592.1077777316948,27398798,596.5607299804688,0,RELIANCE.NS
2020-03-04,596.5607299804688,602.8393785511545,582.400359715697,602.0378717145262,22105261,583.8475952148438,0,RELIANCE.NS
2020-03-05,583.8475952148438,604.6873667976507,581.5543059975552,602.1269086434213,30510390,565.9689331054688,0,RELIANCE.NS
2020-03-06,565.9689331054688,573.6057788366949,552.654658716733,565.5236515774449,33734039,496.12457275390625,0,RELIANCE.NS
2020-03-09,496.12457275390625,552.6101407818697,487.59719353402716,552.1870935973562,88187018,513.6691284179688,1,RELIANCE.NS
2020-03-11,513.6691284179688,524.7569350107589,493.385961606044,493.385961606044,59578576,473.3477783203125,0,RELIANCE.NS
2020-03-12,473.3477783203125,490.26895266015714,466.98007386558294,483.14426957764243,55970485,492.1836853027344,1,RELIANCE.NS
2020-03-13,492.1836853027344,507.6353699155986,419.64527598931187,444.40361172588484,73297403,452.2853698730469,0,RELIANCE.NS
2020-03-16,452.2853698730469,480.78419157795764,447.5207086747309,472.2568121164352,38482258,448.8565979003906,0,RELIANCE.NS
2020-03-17,448.8565979003906,472.0118916262875,446.7191870864638,466.3343737158094,45445979,431.2674865722656,0,RELIANCE.NS
2020-03-18,431.2674865722656,461.28032501489446,427.9277857781092,456.5601919681001,44730415,408.64654541015625,0,RELIANCE.NS
